"TIMESTAMP"	"EVENT"	"LOCUS.0"	"LOCUS"	"LOCUS.ORIG"	"NUMBER"	"UID"	"ORIGIN"	"SRC"	"COMMENT"	"DB.OPERATOR"
"2021-01-27 11:20:00"	"detected"	"Bashkortostan"	"Bashkortostan"	"Республика Башкортостан"	167	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Omsk"	"Omsk"	"Омская область"	163	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Tambov"	"Tambov"	"Тамбовская область"	156	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Vladimir"	"Vladimir"	"Владимирская область"	151	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Kaluga"	"Kaluga"	"Калужская область"	151	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Lipetsk"	"Lipetsk"	"Липецкая область"	151	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Tiumen"	"Tiumen"	"Тюменская область"	150	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Buryatia"	"Buryatia"	"Республика Бурятия"	148	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Komi"	"Komi"	"Республика Коми"	142	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Novosibirsk"	"Novosibirsk"	"Новосибирская область"	138	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Yakutsk"	"Yakutsk"	"Республика Саха (Якутия)"	120	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Sakhalin"	"Sakhalin"	"Сахалинская область"	114	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Kemerovo"	"Kemerovo"	"Кемеровская область"	110	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
"2021-01-27 11:20:00"	"detected"	"Ryazan"	"Ryazan"	"Рязанская область"	109	NA	NA	"https://стопкоронавирус.рф/ robot-trimmed and post-processed"	NA	"Alexei Kouprianov"
